awb_number,activity,bucket
GS7074468473,Assigned to DE Line Lingam (7095523065),DE Assignment
GS1912102576,Assigned to DE Shashank Sharma (8431111750),DE Assignment
GS3372163939,Assigned to DE Vigneshwari P (8189840232),DE Assignment
GS1174161322,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS1305475935,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS1618534983,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS1663955388,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS1678440103,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS1760812257,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS2107330367,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS2341540556,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS2732021142,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS2840858295,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS3018241377,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS3018278353,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS3177724725,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS3356246284,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS3418496535,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS3777675160,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS3791229639,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS3950336749,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS4098387678,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS4180005149,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS4391461107,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS4525218933,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS4768831731,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS4977133495,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS5158754965,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS5225809567,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS5492344989,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS5635060537,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS5852223263,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS5911923068,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS6025926450,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS6097089598,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS6285802946,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS6330526260,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS6403314159,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS6922300276,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS7071905547,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS7361356351,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS7476302199,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS7531725285,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS7758815389,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS7802841211,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS7832240244,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS7955133114,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS8232599852,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS8282659081,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS8938625678,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS8964159226,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS8981292009,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS9229954851,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS9384545830,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS9677905601,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS9820158398,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS9936496792,Automated RTO Initiated,RTO Reason: Auto RTO Initiated
GS1053028402,Cancelled by Buyer - Verified,Cancelled by Customer
GS1152752501,Cancelled by Buyer - Verified,Cancelled by Customer
GS1364375634,Cancelled by Buyer - Verified,Cancelled by Customer
GS1474615914,Cancelled by Buyer - Verified,Cancelled by Customer
GS1606562814,Cancelled by Buyer - Verified,Cancelled by Customer
GS1914983241,Cancelled by Buyer - Verified,Cancelled by Customer
GS2020597357,Cancelled by Buyer - Verified,Cancelled by Customer
GS2100320410,Cancelled by Buyer - Verified,Cancelled by Customer
GS2117766181,Cancelled by Buyer - Verified,Cancelled by Customer
GS2154132908,Cancelled by Buyer - Verified,Cancelled by Customer
GS2263939922,Cancelled by Buyer - Verified,Cancelled by Customer
GS2278484852,Cancelled by Buyer - Verified,Cancelled by Customer
GS2432546233,Cancelled by Buyer - Verified,Cancelled by Customer
GS2503121997,Cancelled by Buyer - Verified,Cancelled by Customer
GS2639634620,Cancelled by Buyer - Verified,Cancelled by Customer
GS2661647849,Cancelled by Buyer - Verified,Cancelled by Customer
GS2755219163,Cancelled by Buyer - Verified,Cancelled by Customer
GS2879189942,Cancelled by Buyer - Verified,Cancelled by Customer
GS3022350636,Cancelled by Buyer - Verified,Cancelled by Customer
GS3650150907,Cancelled by Buyer - Verified,Cancelled by Customer
GS3972813578,Cancelled by Buyer - Verified,Cancelled by Customer
GS4009182666,Cancelled by Buyer - Verified,Cancelled by Customer
GS4031016081,Cancelled by Buyer - Verified,Cancelled by Customer
GS4277702767,Cancelled by Buyer - Verified,Cancelled by Customer
GS4381219096,Cancelled by Buyer - Verified,Cancelled by Customer
GS4584221364,Cancelled by Buyer - Verified,Cancelled by Customer
GS4623851011,Cancelled by Buyer - Verified,Cancelled by Customer
GS4669914475,Cancelled by Buyer - Verified,Cancelled by Customer
GS5010663315,Cancelled by Buyer - Verified,Cancelled by Customer
GS5351869041,Cancelled by Buyer - Verified,Cancelled by Customer
GS5356320412,Cancelled by Buyer - Verified,Cancelled by Customer
GS5373680683,Cancelled by Buyer - Verified,Cancelled by Customer
GS5472619331,Cancelled by Buyer - Verified,Cancelled by Customer
GS5496595063,Cancelled by Buyer - Verified,Cancelled by Customer
GS5530978968,Cancelled by Buyer - Verified,Cancelled by Customer
GS5778598062,Cancelled by Buyer - Verified,Cancelled by Customer
GS5802240453,Cancelled by Buyer - Verified,Cancelled by Customer
GS6193072646,Cancelled by Buyer - Verified,Cancelled by Customer
GS6323463509,Cancelled by Buyer - Verified,Cancelled by Customer
GS6347753609,Cancelled by Buyer - Verified,Cancelled by Customer
GS6375238859,Cancelled by Buyer - Verified,Cancelled by Customer
GS6399016178,Cancelled by Buyer - Verified,Cancelled by Customer
GS6442567578,Cancelled by Buyer - Verified,Cancelled by Customer
GS6755728988,Cancelled by Buyer - Verified,Cancelled by Customer
GS6935067754,Cancelled by Buyer - Verified,Cancelled by Customer
GS6999111023,Cancelled by Buyer - Verified,Cancelled by Customer
GS7137478677,Cancelled by Buyer - Verified,Cancelled by Customer
GS7280528523,Cancelled by Buyer - Verified,Cancelled by Customer
GS7331643744,Cancelled by Buyer - Verified,Cancelled by Customer
GS7547408309,Cancelled by Buyer - Verified,Cancelled by Customer
GS8327808069,Cancelled by Buyer - Verified,Cancelled by Customer
GS8436571605,Cancelled by Buyer - Verified,Cancelled by Customer
GS8488002284,Cancelled by Buyer - Verified,Cancelled by Customer
GS8602805321,Cancelled by Buyer - Verified,Cancelled by Customer
GS8687500320,Cancelled by Buyer - Verified,Cancelled by Customer
GS8793401418,Cancelled by Buyer - Verified,Cancelled by Customer
GS8872817430,Cancelled by Buyer - Verified,Cancelled by Customer
GS8923513410,Cancelled by Buyer - Verified,Cancelled by Customer
GS8949460841,Cancelled by Buyer - Verified,Cancelled by Customer
GS9013459348,Cancelled by Buyer - Verified,Cancelled by Customer
GS9193909992,Cancelled by Buyer - Verified,Cancelled by Customer
GS9391293921,Cancelled by Buyer - Verified,Cancelled by Customer
GS9402470331,Cancelled by Buyer - Verified,Cancelled by Customer
GS9506452315,Cancelled by Buyer - Verified,Cancelled by Customer
GS9703376163,Cancelled by Buyer - Verified,Cancelled by Customer
GS1163134856,Cancelled By User,Cancelled by Customer
GS1320115465,Cancelled By User,Cancelled by Customer
GS1334607396,Cancelled By User,Cancelled by Customer
GS1666590423,Cancelled By User,Cancelled by Customer
GS1718795422,Cancelled By User,Cancelled by Customer
GS1801952756,Cancelled By User,Cancelled by Customer
GS2023155991,Cancelled By User,Cancelled by Customer
GS2485631724,Cancelled By User,Cancelled by Customer
GS2621301692,Cancelled By User,Cancelled by Customer
GS2759916134,Cancelled By User,Cancelled by Customer
GS2977152140,Cancelled By User,Cancelled by Customer
GS2997094199,Cancelled By User,Cancelled by Customer
GS3254754620,Cancelled By User,Cancelled by Customer
GS3333439893,Cancelled By User,Cancelled by Customer
GS3623931033,Cancelled By User,Cancelled by Customer
GS3737253761,Cancelled By User,Cancelled by Customer
GS3813194869,Cancelled By User,Cancelled by Customer
GS3845224319,Cancelled By User,Cancelled by Customer
GS3927880666,Cancelled By User,Cancelled by Customer
GS4265221548,Cancelled By User,Cancelled by Customer
GS4427110628,Cancelled By User,Cancelled by Customer
GS4948122645,Cancelled By User,Cancelled by Customer
GS5008424785,Cancelled By User,Cancelled by Customer
GS5037842454,Cancelled By User,Cancelled by Customer
GS5089888918,Cancelled By User,Cancelled by Customer
GS5131181751,Cancelled By User,Cancelled by Customer
GS5291544243,Cancelled By User,Cancelled by Customer
GS5812607938,Cancelled By User,Cancelled by Customer
GS5828720201,Cancelled By User,Cancelled by Customer
GS5865335657,Cancelled By User,Cancelled by Customer
GS6037803292,Cancelled By User,Cancelled by Customer
GS6116245620,Cancelled By User,Cancelled by Customer
GS6183226349,Cancelled By User,Cancelled by Customer
GS6386541724,Cancelled By User,Cancelled by Customer
GS6407459948,Cancelled By User,Cancelled by Customer
GS6580833633,Cancelled By User,Cancelled by Customer
GS6709610568,Cancelled By User,Cancelled by Customer
GS6724094005,Cancelled By User,Cancelled by Customer
GS6823056291,Cancelled By User,Cancelled by Customer
GS7079487071,Cancelled By User,Cancelled by Customer
GS7200920828,Cancelled By User,Cancelled by Customer
GS7348615463,Cancelled By User,Cancelled by Customer
GS7653136702,Cancelled By User,Cancelled by Customer
GS7805174846,Cancelled By User,Cancelled by Customer
GS7868220439,Cancelled By User,Cancelled by Customer
GS8077703939,Cancelled By User,Cancelled by Customer
GS8323963920,Cancelled By User,Cancelled by Customer
GS8659301916,Cancelled By User,Cancelled by Customer
GS8785562627,Cancelled By User,Cancelled by Customer
GS8873786760,Cancelled By User,Cancelled by Customer
GS9248125517,Cancelled By User,Cancelled by Customer
GS9708946623,Cancelled By User,Cancelled by Customer
GS9977025144,Cancelled By User,Cancelled by Customer
GS3622665277,Customer wants to reschedule for future date:Verified,Customer Reschedule Request
GS4524650239,Customer wants to reschedule for future date:Verified,Customer Reschedule Request
GS7998738661,Customer wants to reschedule for future date:Verified,Customer Reschedule Request
SF3220620887HYE,Exception,Exception
SF3220620968HYE,Exception,Exception
SF3220622997HYE,Exception,Exception
SF3220623722HYE,Exception,Exception
SF3221351097MCF,Exception,Exception
SF35802889263032HYP,Exception,Exception
SF35802895633032HYP,Exception,Exception
SF36152437803032HYP,Exception,Exception
SF36152449943032HYP,Exception,Exception
SF3616332853MCA,Exception,Exception
SF3616340364MCA,Exception,Exception
SF3616351267MCA,Exception,Exception
SF3616354531MCA,Exception,Exception
SF3616354794MCA,Exception,Exception
SF3616354911MCA,Exception,Exception
SF3616389520MCA,Exception,Exception
SF3616389555MCA,Exception,Exception
SF3616392384MCA,Exception,Exception
SF3616393483MCA,Exception,Exception
SF3616399664MCA,Exception,Exception
SF3616403747MCA,Exception,Exception
SF3616405528MCA,Exception,Exception
SF3616405732MCA,Exception,Exception
SF3616407067MCA,Exception,Exception
SF36250426753032HYP,Exception,Exception
SF3648371191HYP,Exception,Exception
SF3648375706HYP,Exception,Exception
SF3648377568HYP,Exception,Exception
SF3648377910HYP,Exception,Exception
SF3648378190HYP,Exception,Exception
SF3648378374HYP,Exception,Exception
SF3648378402HYP,Exception,Exception
SF3648378403HYP,Exception,Exception
SF3648378404HYP,Exception,Exception
SF3648378407HYP,Exception,Exception
SF3648379997HYP,Exception,Exception
SF3648418971HYP,Exception,Exception
SF3648419484HYP,Exception,Exception
18755850010224,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850010821,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850018403,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850020142,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850044690,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850044944,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850051270,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850060392,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850060985,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850066865,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850080154,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850080305,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850087670,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850110103,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850111223,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850113146,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850119052,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850129563,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850131195,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850134452,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850156056,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850161251,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850173895,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850179926,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850186160,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850191852,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850194280,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850201604,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850202746,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850212616,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850213795,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850218382,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850218581,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850223783,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850225964,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850226480,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850228495,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850229501,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850234504,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850241110,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850243840,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850257383,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850257556,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850280111,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850284145,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850299781,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850301166,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850303443,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850303524,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850303815,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850309636,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850316231,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850321444,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850325596,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850336623,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850339843,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850340322,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850343715,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850360670,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850372474,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850372986,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850378590,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850391245,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850393021,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850393765,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850395036,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850397420,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850427612,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850428776,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850430622,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850430795,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850444294,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850456404,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850469085,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850472375,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850474615,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850481055,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850488630,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850512861,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850517120,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850524982,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850530744,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850537582,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850538024,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850538470,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850541421,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850543510,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850544980,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850547301,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850553181,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850560785,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850561780,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850570810,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850581575,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850588041,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850612832,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850664805,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850690436,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850716056,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850728951,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850740000,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850748282,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850749601,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850749796,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850755341,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850760145,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850781252,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850788053,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850803943,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850860805,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850871585,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850886123,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850887453,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850888400,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850891981,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850908346,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850917343,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850930551,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755850983445,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755851043074,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755851102051,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755851119783,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755851139604,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755851197575,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
18755851293766,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730019252,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730033742,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730049050,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730050321,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730062910,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730064833,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730072264,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730076092,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730082414,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730082823,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730084503,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730086360,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730096790,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730098864,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730108115,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730108782,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730115395,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730116353,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730133352,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730133724,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730149883,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730153641,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730157093,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730161923,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730162321,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730164244,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730169225,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730171620,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730174416,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730178443,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730180635,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730183704,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730183763,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730184780,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730187952,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730198721,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730211940,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730221574,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730236296,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730238153,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730240662,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730240802,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730243370,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730244825,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730248712,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730250926,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730274041,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730278274,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730285845,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730291095,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730300000,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730301680,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730306882,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730310684,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730355156,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730390495,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730390510,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730392013,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730420632,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730426291,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730430535,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730436990,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730443205,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730453742,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730455536,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730503044,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730546982,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730579823,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730649355,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730678851,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730688721,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730724561,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730735875,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730739364,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730744846,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730781714,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730799310,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730819794,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730859296,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730859392,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730886025,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730888932,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730909394,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
23502730917713,In Transit - Returned as per Client Instructions,RTO Reason: Client Instruction
